symbol,年份,年度收益%
SH.600482,2018,-9.720459013657779
SH.600482,2019,-10.533561237211309
SH.600482,2020,-10.693174837232021
SH.600482,2021,10.717983832631162
SZ.002625,2016,-21.78419135817986
SZ.002625,2017,-25.50810890950951
SZ.002625,2018,-40.99686020262264
SZ.002625,2019,-7.8398797462819525
SZ.002625,2020,149.23268601132696
SZ.002625,2021,8.06515629188771
SZ.000768,2016,23.658212829879076
SZ.000768,2017,-21.15010762311038
SZ.000768,2018,-22.147729210272693
SZ.000768,2019,25.897910301852534
SZ.000768,2020,129.32441200225838
SZ.000768,2021,-0.18846216499838198
SH.600372,2016,-2.2091233126382726
SH.600372,2017,-27.154513639796097
SH.600372,2018,-5.001475624741925
SH.600372,2019,10.612713471409752
SH.600372,2020,40.164308251537385
SH.600372,2021,14.834678317526206
SZ.300775,2019,544.7027579979651
SZ.300775,2020,18.85891916214706
SZ.300775,2021,24.60516327375155
SZ.300033,2016,-13.602181199801489
SZ.300033,2017,-35.99963896795087
SZ.300033,2018,-34.17113752625834
SZ.300033,2019,340.19484719706963
SZ.300033,2020,16.9865350838206
SZ.300033,2021,20.31529157470251
SZ.300442,2016,6.634913750350502
SZ.300442,2017,-54.80995024252773
SZ.300442,2018,-49.36438178192949
SZ.300442,2019,27.88742816824188
SZ.300442,2020,183.4367446971267
SZ.300442,2021,19.957998821051603
SZ.002602,2016,111.281982894789
SZ.002602,2017,-27.549331000599242
SZ.002602,2018,-2.509862685614861
SZ.002602,2019,-10.888598829055486
SZ.002602,2020,-25.39400647274238
SZ.002602,2021,18.03320003489881
SZ.002230,2016,-2.754803694009189
SZ.002230,2017,125.098318305879
SZ.002230,2018,-38.23064368737551
SZ.002230,2019,41.68005081819777
SZ.002230,2020,19.192383790926048
SZ.002230,2021,29.473388677532085
SH.688111,2019,30.71838062930543
SH.688111,2020,154.69196908892258
SH.688111,2021,-35.721856761797966
SZ.002027,2016,-15.956878637394434
SZ.002027,2017,55.32540504018036
SZ.002027,2018,-65.41938635645519
SZ.002027,2019,33.02226604157219
SZ.002027,2020,81.64949716723109
SZ.002027,2021,-16.6147683121724
SH.601360,2016,-2.3806369915612247
SH.601360,2017,306.38641234615403
SH.601360,2018,-56.265136297628324
SH.601360,2019,15.979728213596346
SH.601360,2020,-33.57494040346942
SH.601360,2021,-19.506578202481585
SH.603613,2019,482.08213012338126
SH.603613,2020,150.64297758170818
SH.603613,2021,22.08402172116244
SZ.300773,2019,169.3566259934447
SZ.300773,2020,-23.07017702384958
SZ.300773,2021,0.37643730763134986
SH.601857,2016,11.814606693364826
SH.601857,2017,4.317184444602251
SH.601857,2018,-12.716490582945084
SH.601857,2019,-24.094529599435212
SH.601857,2020,-40.16913559652995
SH.601857,2021,42.9826959343822
SH.601088,2016,-88.33614772118348
SH.601088,2017,763.3785595753313
SH.601088,2018,-55.696327437230075
SH.601088,2019,34.19106001985013
SH.601088,2020,22.194615496604598
SH.601088,2021,112.65587067619572
SH.601899,2016,13.223676334469946
SH.601899,2017,80.91327556056636
SH.601899,2018,-39.60265140835505
SH.601899,2019,76.29036359705952
SH.601899,2020,153.889537444481
SH.601899,2021,6.703890651707312
SH.603993,2016,16.849920374729855
SH.603993,2017,124.48820774803858
SH.603993,2018,-52.664122410434885
SH.603993,2019,26.02153141495185
SH.603993,2020,56.1963079471318
SH.603993,2021,-11.97110463458766
SH.601225,2016,-55.49545355648592
SH.601225,2017,-99.99355545635872
SH.601225,2018,-99.99985131470345
SH.601225,2019,1969.2846013557817
SH.601225,2020,-95.93503266216184
SH.601225,2021,158.33375532556596
SH.600111,2016,-9.024257954810865
SH.600111,2017,20.486357209643778
SH.600111,2018,-42.20195145636985
SH.600111,2019,26.762311607086776
SH.600111,2020,22.434060251263467
SH.600111,2021,266.35799702167566
SH.601918,2016,-22.386450844864147
SH.601918,2017,-20.386118606976044
SH.601918,2018,-26.506927034596284
SH.601918,2019,9.908003864138326
SH.601918,2020,-3.384053434565082
SH.601918,2021,56.24847320958419
SH.601069,2016,-2.8607348636684793
SH.601069,2017,-29.14245603018426
SH.601069,2018,-6.328120512759505
SH.601069,2019,1.6427337072731252
SH.601069,2020,-10.675242696676335
SH.601069,2021,-8.725384267745007
