symbol,date,adjusted_close,close,amount,turnover_rate
SH.600406,2021-06-09,15.79,15.79,353416592.0,0.25
SH.600406,2021-06-10,15.5,15.5,493056000.0,0.35
SH.600406,2021-06-11,14.84,14.84,865524336.0,0.64
SH.600406,2021-06-15,14.55,14.55,460293152.0,0.35
SH.600406,2021-06-16,14.28,14.28,316888896.0,0.24
SH.600406,2021-06-17,14.03,14.03,447623456.0,0.35
SH.600406,2021-06-18,14.48,14.48,404796352.0,0.31
SH.600406,2021-06-21,14.3,14.3,424889232.0,0.33
SH.600406,2021-06-22,14.16,14.16,305177328.0,0.24
SH.600406,2021-06-23,14.37,14.37,326733072.0,0.25
SH.600406,2021-06-24,14.6,14.6,471830784.0,0.37
SH.600406,2021-06-25,14.71,14.71,362424704.0,0.28
SH.600406,2021-06-28,14.49,14.49,378965136.0,0.29
SH.600406,2021-06-29,14.37,14.37,338955296.0,0.26
SH.600406,2021-06-30,14.28,14.28,299142736.0,0.23
SH.600406,2021-07-01,14.35,14.35,403574896.0,0.31
SH.600406,2021-07-02,14.6,14.6,566770288.0,0.44
SH.600406,2021-07-05,14.9,14.9,422572016.0,0.32
SH.600406,2021-07-06,14.7,14.7,286860704.0,0.22
SH.600406,2021-07-07,15.41,15.41,644899616.0,0.47
SH.600406,2021-07-08,15.51,15.51,471961616.0,0.34
SH.600406,2021-07-09,15.71,15.71,447594576.0,0.32
SH.600406,2021-07-12,16.26,16.26,621461840.0,0.43
SH.600406,2021-07-13,16.41,16.41,456190464.0,0.32
SH.600406,2021-07-14,16.39,16.39,405782256.0,0.28
SH.600406,2021-07-15,16.67,16.67,376831872.0,0.26
SH.600406,2021-07-16,16.12,16.12,437107440.0,0.3
SH.600406,2021-07-19,16.16,16.16,357492848.0,0.25
SH.600406,2021-07-20,16.36,16.36,326134560.0,0.23
SH.600406,2021-07-21,16.85,16.85,514338448.0,0.35
SH.600406,2021-07-22,16.47,16.47,498848352.0,0.34
SH.600406,2021-07-23,17.23,17.23,776026032.0,0.51
SH.600406,2021-07-26,18.84,18.84,1792179440.0,1.1
SH.600406,2021-07-27,17.73,17.73,1243150544.0,0.78
SH.600406,2021-07-28,17.33,17.33,983441936.0,0.64
SH.600406,2021-07-29,18.14,18.14,1008264768.0,0.63
SH.600406,2021-07-30,19.92,19.92,1759478304.0,1.04
SH.600406,2021-08-02,20.39,20.39,1718170944.0,0.99
SH.600406,2021-08-03,19.94,19.94,1023681728.0,0.58
SH.600406,2021-08-04,20.38,20.38,943074736.0,0.54
SH.600406,2021-08-05,19.6,19.6,940034944.0,0.55
SH.600406,2021-08-06,19.3,19.3,750463152.0,0.44
SH.600406,2021-08-09,19.12,19.12,658984256.0,0.4
SH.600406,2021-08-10,19.27,19.27,848027024.0,0.5
SH.600406,2021-08-11,20.17,20.17,1150463808.0,0.67
SH.600406,2021-08-12,19.77,19.77,662764080.0,0.39
SH.600406,2021-08-13,19.94,19.94,641968048.0,0.37
SH.600406,2021-08-16,18.46,18.46,1062180176.0,0.64
SH.600406,2021-08-17,18.48,18.48,891732784.0,0.54
SH.600406,2021-08-18,19.37,19.37,815735296.0,0.49
SH.600406,2021-08-19,19.54,19.54,720519488.0,0.43
SH.600406,2021-08-20,19.7,19.7,770905408.0,0.45
SH.600406,2021-08-23,20.64,20.64,1093865984.0,0.63
SH.600406,2021-08-24,20.78,20.78,1101511984.0,0.61
SH.600406,2021-08-25,21.65,21.65,792646048.0,0.43
SH.600406,2021-08-26,20.28,20.28,722223136.0,0.4
SH.600406,2021-08-27,20.12,20.12,632346400.0,0.37
SH.600406,2021-08-30,20.85,20.85,801753520.0,0.45
SH.600406,2021-08-31,22.45,22.45,1568771968.0,0.83
SH.600406,2021-09-01,21.36,21.36,2550945456.0,1.31
SH.600406,2021-09-02,23.68,23.68,2506517808.0,1.26
SH.600406,2021-09-03,23.0,23.0,2517558064.0,1.23
SH.600406,2021-09-06,21.75,21.75,1854739664.0,0.99
SH.600406,2021-09-07,21.39,21.39,1494552560.0,0.81
SH.600406,2021-09-08,20.29,20.29,2293763024.0,1.28
SH.600406,2021-09-09,19.64,19.64,1846997648.0,1.09
SH.600406,2021-09-10,20.45,20.45,2428084704.0,1.36
SH.600406,2021-09-13,20.5,20.5,1339774720.0,0.74
SH.600406,2021-09-14,20.14,20.14,831668592.0,0.47
SH.600406,2021-09-15,20.85,20.85,939662944.0,0.53
SH.600406,2021-09-16,21.25,21.25,1361719344.0,0.74
SH.600406,2021-09-17,22.87,22.87,1716152112.0,0.88
SH.600406,2021-09-22,24.18,24.18,1817311328.0,0.89
SH.600406,2021-09-23,22.68,22.68,2332713168.0,1.16
SH.600406,2021-09-24,22.13,22.13,1311622512.0,0.69
SH.600406,2021-09-27,21.89,21.89,1233724288.0,0.64
SH.600406,2021-09-28,22.69,22.69,1096029376.0,0.57
SH.600406,2021-09-29,21.89,21.89,1007933184.0,0.53
SH.600406,2021-09-30,23.08,23.08,1314761840.0,0.67
SH.600406,2021-10-08,22.81,22.81,1340179328.0,0.68
SH.600406,2021-10-11,20.97,20.97,1498567664.0,0.8
SH.600406,2021-10-12,20.56,20.56,895012432.0,0.5
SH.600406,2021-10-13,20.71,20.71,543057760.0,0.31
SH.600406,2021-10-14,21.4,21.4,497116000.0,0.27
SH.600406,2021-10-15,21.98,21.98,883987472.0,0.48
SH.600406,2021-10-18,23.44,23.44,1259226592.0,0.64
SH.600406,2021-10-19,23.38,23.38,780358400.0,0.39
SH.600406,2021-10-20,23.59,23.59,796867488.0,0.39
SH.600406,2021-10-21,23.94,23.94,849744096.0,0.42
SH.600406,2021-10-22,23.48,23.48,680998832.0,0.34
SH.600406,2021-10-25,26.02,26.02,2099034672.0,0.98
SH.600406,2021-10-26,25.42,25.42,1668239712.0,0.76
SH.600406,2021-10-27,25.57,25.57,1087985088.0,0.5
SH.600406,2021-10-28,25.84,25.84,1012459712.0,0.46
SH.600406,2021-10-29,25.17,25.17,1217962544.0,0.57
SH.600406,2021-11-01,23.69,23.69,2013979936.0,0.99
SH.600406,2021-11-02,23.42,23.42,1003225504.0,0.5
SH.600406,2021-11-03,23.45,23.45,884987360.0,0.44
SH.600406,2021-11-04,24.37,24.37,1167751712.0,0.56
SH.600406,2021-11-05,23.82,23.82,757545984.0,0.37
SH.600406,2021-11-08,24.32,24.32,799825344.0,0.38
SH.600406,2021-11-09,24.63,24.63,628144432.0,0.3
SH.600406,2021-11-10,23.16,23.16,937492464.0,0.47
SH.600406,2021-11-11,23.4,23.4,913301264.0,0.46
SH.600406,2021-11-12,25.22,25.22,2206793968.0,1.03
SH.600406,2021-11-15,25.1,25.1,2985331072.0,1.32
SH.600406,2021-11-16,24.61,24.61,1097857600.0,0.52
SH.600406,2021-11-17,25.45,25.45,1333445504.0,0.63
SH.600406,2021-11-18,26.18,26.18,1147364384.0,0.52
SH.600406,2021-11-19,26.0,26.0,1051299008.0,0.48
SH.600406,2021-11-22,26.0,26.0,1180458176.0,0.53
SH.600406,2021-11-23,26.54,26.54,1138899728.0,0.51
SH.600406,2021-11-24,26.55,26.55,764835952.0,0.34
SH.600406,2021-11-25,29.39,29.39,2909852192.0,1.2
SH.600406,2021-11-26,29.32,29.32,2568465328.0,1.06
SH.600406,2021-11-29,28.02,28.02,2407300336.0,0.98
SH.600406,2021-11-30,26.89,26.89,2365036640.0,1.03
SH.600406,2021-12-01,26.76,26.76,1731860624.0,0.77
SH.600406,2021-12-02,27.35,27.35,1215533008.0,0.53
SH.600406,2021-12-03,27.42,27.42,911143248.0,0.4
SH.600406,2021-12-06,27.24,27.24,1141844608.0,0.48
SH.600406,2021-12-07,26.98,26.98,1177176576.0,0.51
SH.600406,2021-12-08,27.95,27.95,1177078976.0,0.51
SH.600406,2021-12-09,26.63,26.63,1645020496.0,0.71
SH.600406,2021-12-10,26.37,26.37,1429632032.0,0.64
SH.600406,2021-12-13,28.6,28.6,3459728752.0,1.44
SH.600406,2021-12-14,29.46,29.46,2257101856.0,0.91
SH.600406,2021-12-15,29.64,29.64,2860807104.0,1.13
SH.600406,2021-12-16,29.45,29.45,1177673344.0,0.48
SH.600406,2021-12-17,28.35,28.35,1801298560.0,0.74
SH.600406,2021-12-20,27.51,27.51,1319098048.0,0.56
SH.600406,2021-12-21,28.24,28.24,1172912560.0,0.5
SH.600406,2021-12-22,27.89,27.89,790049664.0,0.33
SH.600406,2021-12-23,29.6,29.6,1651201024.0,0.68
SH.600406,2021-12-24,29.18,29.18,1160915776.0,0.47
SH.600406,2021-12-27,26.88,26.88,2847083744.0,1.23
SH.600406,2021-12-28,26.9,26.9,1900172928.0,0.84
SH.600406,2021-12-29,25.64,25.64,2396044512.0,1.1
SH.600406,2021-12-30,26.09,26.09,1485838848.0,0.67
SH.600406,2021-12-31,25.94,25.94,932250928.0,0.42
SH.600482,2016-05-03,34.02,34.02,266703778.0,1.47
SH.600482,2016-05-04,34.97,34.97,557709792.0,2.92
SH.600482,2016-05-05,35.16,35.16,243101127.0,1.29
SH.600482,2016-05-06,33.91,33.91,431259072.0,2.28
SH.600482,2016-05-09,33.86,33.86,359103744.0,1.96
SH.600482,2016-05-10,30.37,30.37,569330864.0,3.38
SH.600482,2016-05-11,29.53,29.53,429886944.0,2.68
SH.600482,2016-05-12,29.3,29.3,231331887.0,1.47
SH.600482,2016-05-13,29.28,29.28,175633363.0,1.1
SH.600482,2016-05-16,31.22,31.22,355666000.0,2.14
SH.600482,2016-05-17,31.47,31.47,267802295.0,1.59
SH.600482,2016-05-18,31.5,31.5,284863344.0,1.7
SH.600482,2016-05-19,31.52,31.52,207975758.0,1.22
SH.600482,2016-05-20,31.85,31.85,307358544.0,1.8
SH.600482,2016-05-23,31.99,31.99,419700560.0,2.43
SH.600482,2016-05-24,31.67,31.67,217609594.0,1.27
SH.600482,2016-05-25,31.0,31.0,160051404.0,0.94
SH.600482,2016-05-26,30.25,30.25,225120153.0,1.38
SH.600482,2016-05-27,30.03,30.03,103840999.0,0.64
SH.600482,2016-05-30,29.22,29.22,172661200.0,1.08
SH.600482,2016-05-31,30.5,30.5,269034688.0,1.64
SH.600482,2016-06-01,31.08,31.08,240253388.0,1.43
SH.600482,2016-06-02,30.96,30.96,156090274.0,0.93
SH.600482,2016-06-03,30.75,30.75,217529423.0,1.3
SH.600482,2016-06-06,30.8,30.8,160691751.0,0.96
SH.600482,2016-06-07,30.5,30.5,187079993.0,1.13
SH.600482,2016-06-08,32.51,32.51,525051152.0,3.02
SH.600482,2016-06-13,32.56,32.56,652909248.0,3.67
SH.600482,2016-06-14,33.12,33.12,511069680.0,2.88
SH.600482,2016-06-15,34.11,34.11,866632544.0,4.77
SH.600482,2016-06-16,32.83,32.83,558524736.0,3.1
SH.600482,2016-06-17,32.82,32.82,564762288.0,3.14
SH.600482,2016-06-20,31.8,31.8,497049792.0,2.89
SH.600482,2016-06-21,31.44,31.44,363413424.0,2.11
SH.600482,2016-06-22,31.7,31.7,205062904.0,1.2
SH.600482,2016-06-23,31.95,31.95,286252496.0,1.66
SH.600482,2016-06-24,30.79,30.79,281898432.0,1.67
SH.600482,2016-06-27,31.4,31.4,252778028.0,1.5
SH.600482,2016-06-28,31.83,31.83,268774496.0,1.56
SH.600482,2016-06-29,31.75,31.75,209143592.0,1.21
SH.600482,2016-06-30,31.73,31.73,186891990.0,1.09
SH.600482,2016-07-01,31.78,31.78,194620514.0,1.13
SH.600482,2016-07-04,32.75,32.75,350342432.0,1.99
