symbol,date,close,amount,turnover_rate,adj_factor,adj_price,ret
SZ.300124,2020-09-23,54.71,345996208.0,0.46,16.1518,883.6649780000001,-0.005091834879068946
SZ.300124,2020-09-24,54.0,643099288.0,0.85,16.1518,872.1972000000001,-0.012977517821239348
SZ.300124,2020-09-25,55.94,698996052.0,0.91,16.1518,903.531692,0.03592592592592592
SZ.300124,2020-09-28,55.84,575604128.0,0.74,16.1518,901.9165120000001,-0.001787629603146157
SZ.300124,2020-09-29,56.3,509546176.0,0.66,16.1518,909.34634,0.008237822349570045
SZ.300124,2020-09-30,57.9,688399532.0,0.86,16.1518,935.1892200000001,0.02841918294849033
SZ.300124,2020-10-09,61.75,978754186.0,1.17,16.1518,997.3736500000001,0.06649395509499145
SZ.300124,2020-10-12,63.71,731453580.0,0.85,16.1518,1029.0311780000002,0.03174089068825925
SZ.300124,2020-10-13,63.22,507819274.0,0.58,16.1518,1021.116796,-0.007691100298226505
SZ.300124,2020-10-14,62.7,721476056.0,0.83,16.1518,1012.7178600000001,-0.008225245175577323
SZ.300124,2020-10-15,63.2,567325488.0,0.65,16.1518,1020.7937600000001,0.00797448165869219
SZ.300124,2020-10-16,62.42,444260240.0,0.51,16.1518,1008.1953560000002,-0.012341772151898689
SZ.300124,2020-10-19,62.57,627305712.0,0.72,16.1518,1010.6181260000001,0.0024030759371995725
SZ.300124,2020-10-20,64.07,472376704.0,0.54,16.1518,1034.845826,0.023973150071919358
SZ.300124,2020-10-21,62.75,402471728.0,0.46,16.1518,1013.5254500000001,-0.02060246605275473
SZ.300124,2020-10-22,62.24,635403552.0,0.75,16.1518,1005.2880320000002,-0.00812749003984059
SZ.300124,2020-10-23,62.18,590470816.0,0.69,16.1518,1004.318924,-0.000964010282776484
SZ.300124,2020-10-26,62.37,598265632.0,0.71,16.1518,1007.387766,0.0030556449018976917
SZ.300124,2020-10-27,62.8,643618960.0,0.74,16.1518,1014.3330400000001,0.0068943402276735455
SZ.300124,2020-10-28,62.8,809146400.0,0.92,16.1518,1014.3330400000001,0.0
SZ.300124,2020-10-29,65.54,737351920.0,0.82,16.1518,1058.5889720000002,0.04363057324840769
SZ.300124,2020-10-30,64.24,740326272.0,0.82,16.1518,1037.5916320000001,-0.019835215135795004
SZ.300124,2020-11-02,77.09,2321266528.0,2.21,16.1518,1245.142262,0.2000311332503113
SZ.300124,2020-11-03,77.8,2242595072.0,2.09,16.1518,1256.61004,0.009210014269036115
SZ.300124,2020-11-04,79.0,1507058400.0,1.38,16.1518,1275.9922000000001,0.015424164524421746
SZ.300124,2020-11-05,80.12,1263716496.0,1.15,16.1518,1294.0822160000002,0.014177215189873582
SZ.300124,2020-11-06,79.49,1192905968.0,1.09,16.1518,1283.906582,-0.007863205192211842
SZ.300124,2020-11-09,82.66,1200201104.0,1.07,16.1518,1335.107788,0.03987923009183536
SZ.300124,2020-11-10,82.1,1388228288.0,1.24,16.1518,1326.06278,-0.006774739898378956
SZ.300124,2020-11-11,80.33,1686349488.0,1.47,16.1518,1297.4740940000002,-0.02155907429963444
SZ.300124,2020-11-12,80.37,1232821168.0,1.1,16.1518,1298.1201660000002,0.0004979459728620128
SZ.300124,2020-11-13,81.83,904491136.0,0.81,16.1518,1321.701794,0.018165982331715735
SZ.300124,2020-11-16,82.64,1361132080.0,1.19,16.1518,1334.784752,0.009898570206525736
SZ.300124,2020-11-17,82.5,1048267568.0,0.91,16.1518,1332.5235,-0.0016940948693127122
SZ.300124,2020-11-18,80.56,1122614896.0,1.0,16.1518,1301.189008,-0.02351515151515149
SZ.300124,2020-11-19,79.93,806926448.0,0.73,16.1518,1291.0133740000003,-0.007820258192651197
SZ.300124,2020-11-20,80.26,993696128.0,0.89,16.1518,1296.3434680000003,0.004128612535968967
SZ.300124,2020-11-23,84.42,1365905696.0,1.18,16.1518,1363.5349560000002,0.05183154747072005
SZ.300124,2020-11-24,83.8,890771408.0,0.77,16.1518,1353.5208400000001,-0.0073442312248283015
SZ.300124,2020-11-25,82.58,710188944.0,0.62,16.1518,1333.815644,-0.014558472553699353
SZ.300124,2020-11-26,78.2,1392570944.0,1.28,16.1518,1263.07076,-0.05303947687091304
SZ.300124,2020-11-27,77.8,746403792.0,0.7,16.1518,1256.61004,-0.005115089514066473
SZ.300124,2020-11-30,77.0,1023119808.0,0.94,16.1518,1243.6886000000002,-0.010282776349614275
SZ.300124,2020-12-01,80.51,1293312816.0,1.16,16.1518,1300.3814180000002,0.045584415584415616
SZ.300124,2020-12-02,81.31,718554560.0,0.64,16.1518,1313.3028580000002,0.009936653831822184
SZ.300124,2020-12-03,81.04,569599264.0,0.51,16.1518,1308.9418720000003,-0.0033206247694009816
SZ.300124,2020-12-04,85.47,1208961424.0,1.04,16.1518,1380.4943460000002,0.05466436327739377
SZ.300124,2020-12-07,84.7,756528976.0,0.65,16.1518,1368.0574600000002,-0.009009009009009028
SZ.300124,2020-12-08,85.58,1089622288.0,0.92,16.1518,1382.271044,0.010389610389610393
